['11. тур', 'Гремио', '3:1', 'Америка', '80.72', '9.50', '9.77', '2023-06-23']
['11. тур', 'Васко да Гама', '0:1', 'Гойяс', '42.68', '26.98', '30.34', '2023-06-23']
['11. тур', 'Куритиба', '0:1', 'Интернасьонал', '20.64', '14.27', '65.10', '2023-06-23']
['11. тур', 'Куяба', '0:1', 'Ботафого', '17.27', '14.11', '68.62', '2023-06-23']
['11. тур', 'РБ Брагантино', '4:0', 'Фламенго', '38.42', '33.85', '27.73', '2023-06-23']
['13. тур', 'Спорт Ресифи', '3:0', 'Жувентуде', '35.84', '26.92', '37.23', '2023-06-23']
['21. тур', 'Расинг Клуб', '1:1', 'Барракас С.', '46.14', '32.64', '21.22', '2023-06-23']
['21. тур', 'Ривер Плейт', '3:1', 'Instituto AC', '79.31', '11.59', '9.10', '2023-06-23']
['21. тур', 'Годой Крус', '4:0', 'Бока Хуниорс', '21.74', '29.58', '48.69', '2023-06-23']
['22. тур', 'CADU (Zarate)', '1:0', 'CA Güemes', '35.89', '24.22', '39.89', '2023-06-23']
['17. тур', 'CSG San Martín', '0:1', 'GyT (Salta)', '16.12', '24.18', '59.70', '2023-06-23']
['17. тур', 'Vaca Diez', '2:3', 'Аурора', '16.40', '22.52', '61.08', '2023-06-23']
['12. тур', 'Хафнарфьордур', '4:0', 'Fram Reykjavík', '50.35', '24.33', '25.32', '2023-06-23']
['12. тур', 'Кефлавик', '1:1', 'Филкир', '25.99', '22.29', '51.72', '2023-06-23']
['12. тур', 'Коупавогюр', '5:2', 'Брейдаблик', '23.92', '28.15', '47.93', '2023-06-23']
['8. тур', 'Лейкнир', '2:2', 'Afturelding', '2.55', '1.97', '95.48', '2023-06-23']
['8. тур', 'Selfoss', '3:4', 'Акранес', '63.69', '16.90', '19.41', '2023-06-23']
['17. тур', 'Монагас', 'перенесено', 'Rayo Zuliano', '38.15', '30.45', '31.40', '2023-06-23']
['17. тур', 'Кольменарес', '-', 'Метрополитанос', '19.88', '22.21', '57.90', '2023-06-23']
['17. тур', 'Пуэрто-Кавельо', '-', 'Самора', '85.43', '9.29', '5.28', '2023-06-23']
['17. тур', 'Деп. Ла Гуайра', '-', 'Каракас', '35.58', '29.98', '34.44', '2023-06-23']
['17. тур', 'Минерос', '-', 'Эстудиантес', '15.40', '28.67', '55.93', '2023-06-23']
['16. тур', 'Метрополитанос', '0:1', 'Португеса', '39.11', '25.14', '35.75', '2023-06-23']
['16. тур', 'Кольменарес', '1:2', 'Минерос', '52.60', '28.03', '19.37', '2023-06-23']
['13. тур', 'Торпедо Жодино', '1:1', 'Энергетик-БГУ', '53.53', '12.72', '33.76', '2023-06-23']
['23. тур', 'USM Alger', '2:0', 'МК Алжир', '40.58', '22.50', '36.92', '2023-06-23']
['30. тур', 'ФЮС', '0:0', 'Хассания', '56.93', '24.68', '18.39', '2023-06-23']
['30. тур', 'Иттихад', '2:3', 'ФАР', '19.36', '15.44', '65.21', '2023-06-23']
['30. тур', 'ЖС Суалем', '0:3', 'Сафи', '17.42', '27.17', '55.41', '2023-06-23']
['30. тур', 'МАС', '0:2', 'Видад', '27.25', '27.15', '45.61', '2023-06-23']
['30. тур', 'Хурибга', '6:4', 'Юнион Турага', '33.17', '28.42', '38.41', '2023-06-23']
['30. тур', 'Мулудия', '2:1', 'Магреб Тетуан', '35.99', '33.59', '30.42', '2023-06-23']
['30. тур', 'Раджа', '3:2', 'Дифаа', '52.09', '26.84', '21.06', '2023-06-23']
['30. тур', 'Беркан', '3:0', 'Шабаб', '43.49', '25.59', '30.92', '2023-06-23']
['1/8-финала', 'Гаиш', '8:9 пен.', 'Банк', '26.44', '28.20', '45.36', '2023-06-23']
['1/8-финала', 'Замалек', '3:1', 'Фарко', '36.66', '29.57', '33.77', '2023-06-23']
['3. тур', 'Ливерпуль', '3:0', 'Насьональ', '65.83', '13.63', '20.54', '2023-06-23']
['11. тур', 'Cashmere Tech.', '5:4', 'Nelson Suburbs', '47.24', '19.07', '33.69', '2023-06-23']
['11. тур', 'Christch. Utd.', '2:0', 'Coastal Spirit', '57.78', '22.51', '19.71', '2023-06-23']
['14. тур', 'Western Springs', '3:1', 'Bay Olympic', '33.09', '29.76', '37.15', '2023-06-23']
['1. тур', 'Мельгар', '4:0', 'AD Tarma', '22.93', '25.18', '51.89', '2023-06-23']
['1. тур', 'Сьенсиано', '1:1', 'Университарио', '22.12', '17.25', '60.63', '2023-06-23']
['15. тур', 'Перак', '1:2', 'ПДРМ ФК', '24.92', '18.87', '56.21', '2023-06-23']
['15. тур', 'Kelantan FC', '0:5', 'Паханг', '6.80', '5.64', '87.56', '2023-06-23']
['20. тур', 'Финн Харпс', '0:1', 'Уэксфорд', '35.68', '32.95', '31.36', '2023-06-23']
['21. тур', 'Богемиан', '2:2', 'Шэмрок Роверс', '25.78', '24.36', '49.86', '2023-06-23']
['21. тур', 'Дерри Сити', '2:0', 'Корк Сити', '57.65', '22.63', '19.72', '2023-06-23']
